t,x,y,z,xdot,ydot,zdot,qw,qx,qy,qz,p,q,r
0,0,0,0,0,0,0,1,0,-0,-0,0,0,0
0.01,1.7908e-06,1.0452e-07,0.00036318,0.00060555,3.7628e-05,0.080395,0.99999,0.00026566,-0.0035623,7.9419e-07,-0.091016,0.6585,-0.00062079
0.02,1.5917e-05,1.2973e-06,0.0016006,0.0023171,0.00023767,0.16744,0.99999,0.00084844,-0.00509,4.1558e-06,-0.13256,-0.033561,-0.0013747
0.03,4.8263e-05,5.7117e-06,0.0037343,0.004085,0.00069112,0.26067,0.99999,0.0015173,-0.0038888,5.8797e-06,-0.13385,-0.35707,-0.0010632
0.04,9.5559e-05,1.6034e-05,0.0068304,0.0052542,0.0014144,0.35795,1,0.0021866,-0.0021051,4.6506e-06,-0.13387,-0.30915,-0.00056968
0.05,0.00015144,3.4726e-05,0.010867,0.005887,0.0023602,0.44966,1,0.0027257,-0.0015242,4.282e-06,-0.061098,0.038454,-0.00019264
0.06,0.0002135,6.3754e-05,0.015842,0.0065582,0.0034604,0.54616,0.99999,0.002895,-0.0019689,5.7842e-06,-0.02194,0.1023,-6.8146e-05
0.07,0.00028295,0.00010384,0.021743,0.0073101,0.0045324,0.62656,0.99999,0.003236,-0.0021546,6.8196e-06,-0.1472,-0.0056115,-0.00058518
0.08,0.00035908,0.00015419,0.028227,0.0078879,0.0055437,0.66405,0.99999,0.0044201,-0.0021073,9.0378e-06,-0.31792,-0.0040822,-0.0013362
0.09,0.00044022,0.00021497,0.034914,0.008321,0.0066244,0.66836,0.99998,0.0063253,-0.0021398,1.3274e-05,-0.43923,0.015834,-0.0018833
0.1,0.00052515,0.0002868,0.041502,0.0086492,0.0077441,0.64534,0.99996,0.0088121,-0.0022338,1.9444e-05,-0.5433,0.005356,-0.0024652
0.11,0.00061304,0.00037042,0.047784,0.0089218,0.0090246,0.61038,0.99993,0.011442,-0.0019813,2.2705e-05,-0.48599,-0.1138,-0.0019877
0.12,0.00070334,0.00046826,0.053708,0.0091198,0.010594,0.57482,0.99991,0.0135,-0.0010766,1.4827e-05,-0.3257,-0.24534,-0.00073676
0.13,0.00079494,0.00058328,0.059291,0.0091677,0.012454,0.54239,0.99989,0.014637,0.00041285,-5.6893e-06,-0.12817,-0.3421,0.0001157
0.14,0.00088591,0.00071811,0.064572,0.0089807,0.014541,0.51477,0.99989,0.014816,0.0022489,-3.31e-05,0.04958,-0.38266,-0.00018537
0.15,0.00097354,0.00087454,0.069605,0.0084913,0.016759,0.49273,0.99989,0.014238,0.0041452,-5.8994e-05,0.17024,-0.36811,-0.0013775
0.16,0.0010546,0.0010534,0.074446,0.0076647,0.019014,0.47662,0.9999,0.013228,0.0058666,-7.7701e-05,0.22278,-0.3162,-0.0026017
0.17,0.0011257,0.0012547,0.079158,0.0064994,0.021245,0.4666,0.9999,0.012104,0.0072852,-8.8289e-05,0.2193,-0.25074,-0.0032021
0.18,0.0011835,0.0014781,0.083799,0.0050163,0.023427,0.46275,0.9999,0.011088,0.0083839,-9.3012e-05,0.18429,-0.19091,-0.0031027
0.19,0.0012251,0.0017231,0.088433,0.0032429,0.025568,0.46508,0.9999,0.010273,0.0092219,-9.4736e-05,0.14199,-0.14732,-0.0026278
0.2,0.0012475,0.0019894,0.093121,0.0012115,0.027678,0.47311,0.99991,0.0095883,0.00988,-9.4813e-05,0.16391,-0.11782,-0.0032017
0.21,0.0012488,0.0022762,0.0979,-0.00098273,0.029643,0.48279,0.99991,0.0085857,0.010484,-9.0177e-05,0.22778,-0.13207,-0.0047771
0.22,0.0012274,0.0025814,0.10278,-0.0033138,0.031361,0.4921,0.99991,0.0074045,0.01125,-8.3417e-05,0.23697,-0.17583,-0.005346
0.23,0.001182,0.0029025,0.10774,-0.005808,0.032813,0.50033,0.99991,0.0062633,0.012236,-7.6697e-05,0.21745,-0.21635,-0.0053301
0.24,0.0011106,0.0032369,0.11278,-0.0084947,0.034018,0.50715,0.9999,0.0052283,0.013385,-7.0023e-05,0.198,-0.24069,-0.0053014
0.25,0.0010114,0.0035821,0.11788,-0.011389,0.034999,0.51243,0.99988,0.0042615,0.01462,-6.2366e-05,0.19079,-0.25179,-0.0055732
0.26,0.00088212,0.0039362,0.12302,-0.014495,0.035769,0.51608,0.99987,0.0033014,0.015893,-5.2569e-05,0.19451,-0.25709,-0.0061757
0.27,0.00072078,0.0042968,0.12819,-0.017807,0.036331,0.51809,0.99985,0.0023072,0.01719,-3.9796e-05,0.20346,-0.26214,-0.0069894
0.28,0.00052529,0.0046621,0.13338,-0.021323,0.036684,0.51844,0.99983,0.0012649,0.018517,-2.3581e-05,0.21314,-0.26893,-0.0078951
0.29,0.00029364,0.0050298,0.13856,-0.02504,0.036825,0.51712,0.9998,0.00017608,0.019883,-3.6722e-06,0.2219,-0.27766,-0.0088294
0.3,2.3799e-05,0.0053979,0.14371,-0.028964,0.036747,0.51442,0.99978,-0.0010558,0.021141,2.1856e-05,0.29117,-0.19204,-0.012248
0.31,-0.00028622,0.0057638,0.14884,-0.033058,0.036392,0.51146,0.99976,-0.0027416,0.021748,5.9029e-05,0.37662,-0.05559,-0.016412
0.32,-0.00063758,0.0061245,0.15394,-0.037216,0.035682,0.50865,0.99975,-0.0047509,0.021783,0.00010308,0.41894,0.031422,-0.018318
0.33,-0.0010305,0.0064761,0.15902,-0.041361,0.034571,0.50613,0.99974,-0.0068715,0.021527,0.00014778,0.42414,0.062807,-0.018307
0.34,-0.0014647,0.0068146,0.16407,-0.045465,0.033049,0.50398,0.99973,-0.0089645,0.02121,0.00019018,0.41124,0.06024,-0.017471
0.35,-0.0019397,0.0071358,0.1691,-0.049529,0.031126,0.50222,0.99972,-0.010982,0.020942,0.0002301,0.39588,0.046724,-0.016593
0.36,-0.0024552,0.0074358,0.17411,-0.053565,0.02881,0.50088,0.9997,-0.012933,0.020738,0.00026834,0.38512,0.035605,-0.015974
0.37,-0.0030109,0.0077107,0.17912,-0.057584,0.026108,0.49996,0.99968,-0.014843,0.020574,0.00030551,0.37932,0.030632,-0.015613
0.38,-0.0036068,0.0079566,0.18411,-0.06159,0.023024,0.49946,0.99965,-0.016733,0.020423,0.00034186,0.37647,0.030236,-0.015385
0.39,-0.0042427,0.0081699,0.18911,-0.065584,0.019557,0.49938,0.99962,-0.018611,0.020267,0.00037734,0.37435,0.031652,-0.015188
0.4,-0.0049184,0.0083465,0.1941,-0.069542,0.015714,0.4996,0.9996,-0.020427,0.019783,0.00040439,0.34878,0.18465,-0.013832
0.41,-0.0056329,0.008483,0.1991,-0.073322,0.011525,0.49983,0.99958,-0.022119,0.018483,0.00040918,0.33005,0.3224,-0.01221
0.42,-0.0063838,0.008576,0.2041,-0.07679,0.0070127,0.49999,0.99958,-0.023754,0.016699,0.00039705,0.32591,0.37833,-0.010896
0.43,-0.0071675,0.0086222,0.2091,-0.079887,0.0021838,0.50005,0.99957,-0.025394,0.014795,0.00037607,0.3306,0.3771,-0.0097812
0.44,-0.0079803,0.0086186,0.2141,-0.082612,-0.0029638,0.49998,0.99955,-0.027064,0.012963,0.00035117,0.33674,0.35488,-0.0087392
0.45,-0.0088185,0.0085618,0.2191,-0.084985,-0.0084348,0.49977,0.99952,-0.02876,0.011239,0.00032359,0.34144,0.33632,-0.0076777
0.46,-0.0096788,0.0084488,0.22409,-0.087024,-0.014233,0.49942,0.99949,-0.030474,0.0095831,0.00029237,0.34368,0.32817,-0.0065896
0.47,-0.010558,0.0082761,0.22909,-0.08874,-0.020359,0.49892,0.99945,-0.032194,0.0079454,0.00025613,0.34432,0.32806,-0.0054769
0.48,-0.011453,0.0080405,0.23407,-0.090132,-0.026813,0.49829,0.9994,-0.033916,0.0062972,0.0002139,0.34458,0.33154,-0.0043442
0.49,-0.012359,0.0077388,0.23905,-0.091199,-0.033594,0.49751,0.99935,-0.035639,0.0046306,0.00016534,0.3451,0.3352,-0.0031983
0.5,-0.013275,0.0073676,0.24402,-0.091921,-0.040682,0.49663,0.99931,-0.036976,0.0026607,9.8643e-05,0.18221,0.45846,-0.00095308
0.51,-0.014196,0.0069245,0.24898,-0.092198,-0.047949,0.49572,0.9993,-0.037528,0.00010478,4.0022e-06,0.050641,0.5554,1.618e-05
0.52,-0.015118,0.0064084,0.25394,-0.09194,-0.055271,0.4948,0.99929,-0.037612,-0.0027913,-0.00010509,-0.005103,0.59507,-2.1014e-05
0.53,-0.016033,0.0058191,0.25888,-0.091104,-0.062592,0.49388,0.99928,-0.037568,-0.0057743,-0.0002171,-0.0062841,0.59455,-8.2992e-05
0.54,-0.016938,0.0051566,0.26381,-0.08969,-0.069909,0.49295,0.99926,-0.037582,-0.0087087,-0.00032748,0.013353,0.57933,0.00022087
0.55,-0.017825,0.0044209,0.26874,-0.087712,-0.077238,0.49202,0.99922,-0.037696,-0.011567,-0.00043627,0.03137,0.56586,0.00072253
0.56,-0.01869,0.0036118,0.27365,-0.085181,-0.084597,0.49109,0.99918,-0.037877,-0.014375,-0.00054482,0.040173,0.55932,0.0011604
0.57,-0.019527,0.0027288,0.27856,-0.082104,-0.091994,0.49015,0.99913,-0.038081,-0.017165,-0.00065417,0.041352,0.55844,0.0014271
0.58,-0.02033,0.0017717,0.28346,-0.078483,-0.099431,0.48921,0.99907,-0.038281,-0.019958,-0.00076468,0.039119,0.55994,0.0015667
0.59,-0.021095,0.0007401,0.28834,-0.074315,-0.10691,0.48826,0.999,-0.038468,-0.022758,-0.00087631,0.036665,0.5614,0.0016724
0.6,-0.021815,-0.0003664,0.29322,-0.069602,-0.11438,0.4873,0.99895,-0.038125,-0.02551,-0.00097514,-0.18602,0.53893,-0.0092723
0.61,-0.022485,-0.001547,0.29809,-0.064365,-0.12168,0.48631,0.99893,-0.0367,-0.028152,-0.0010364,-0.36512,0.52007,-0.020621
0.62,-0.0231,-0.0027989,0.30295,-0.058622,-0.12863,0.4853,0.99893,-0.034647,-0.030729,-0.0010674,-0.43818,0.51239,-0.027125
0.63,-0.023656,-0.0041182,0.3078,-0.052382,-0.13516,0.48426,0.99892,-0.032434,-0.03329,-0.0010818,-0.43694,0.51296,-0.029286
0.64,-0.024146,-0.0055006,0.31263,-0.045645,-0.14125,0.48317,0.9989,-0.03031,-0.035864,-0.0010887,-0.40882,0.51677,-0.02946
0.65,-0.024567,-0.0069419,0.31746,-0.038408,-0.14695,0.48203,0.99886,-0.028326,-0.038458,-0.0010909,-0.38437,0.52045,-0.029635
0.66,-0.024913,-0.0084383,0.32227,-0.030668,-0.15227,0.48085,0.99881,-0.026432,-0.041064,-0.0010871,-0.37299,0.52208,-0.030698
0.67,-0.025179,-0.009986,0.32708,-0.022424,-0.15721,0.47962,0.99874,-0.024564,-0.043675,-0.0010748,-0.37208,0.52243,-0.03258
0.68,-0.02536,-0.011581,0.33187,-0.013675,-0.1618,0.47834,0.99867,-0.022688,-0.046286,-0.0010523,-0.37559,0.52208,-0.034875
0.69,-0.025451,-0.013221,0.33664,-0.0044214,-0.16601,0.47702,0.99859,-0.020791,-0.048894,-0.0010189,-0.3792,0.52166,-0.037213
0.7,-0.025447,-0.0149,0.34141,0.0053241,-0.16985,0.47565,0.99851,-0.018653,-0.051243,-0.00096009,-0.50661,0.37927,-0.051717
0.71,-0.025343,-0.016616,0.34616,0.015438,-0.17319,0.47425,0.99849,-0.015717,-0.052696,-0.0008333,-0.6515,0.21379,-0.068951
0.72,-0.025137,-0.018362,0.35089,0.025764,-0.1759,0.47284,0.99849,-0.012241,-0.05353,-0.00065953,-0.72031,0.13367,-0.077621
0.73,-0.024827,-0.020132,0.35561,0.036222,-0.17792,0.47141,0.9985,-0.0085848,-0.054153,-0.00046794,-0.72851,0.12361,-0.079441
0.74,-0.024412,-0.021918,0.36032,0.046799,-0.17923,0.46994,0.99848,-0.0049651,-0.054819,-0.0002743,-0.71108,0.14478,-0.078395
0.75,-0.023891,-0.023714,0.36501,0.057514,-0.17985,0.46844,0.99845,-0.001442,-0.055602,-8.1805e-05,-0.69274,0.16749,-0.077394
0.76,-0.023261,-0.025513,0.36969,0.068386,-0.17979,0.46691,0.9984,0.0020096,-0.056473,0.00011208,-0.68301,0.17983,-0.077476
0.77,-0.022522,-0.027308,0.37435,0.07943,-0.17907,0.46533,0.99834,0.0054339,-0.057379,0.00031053,-0.68111,0.18215,-0.078538
0.78,-0.021672,-0.029092,0.37899,0.090648,-0.17769,0.46372,0.99826,0.0088609,-0.058282,0.00051538,-0.68329,0.1795,-0.080011
0.79,-0.020709,-0.030859,0.38362,0.10204,-0.17565,0.46207,0.99817,0.012301,-0.059166,0.00072705,-0.68582,0.17587,-0.081557
0.8,-0.019631,-0.032603,0.38824,0.1136,-0.17294,0.46039,0.99807,0.015751,-0.059998,0.00094471,-0.68627,0.11232,-0.0828
0.81,-0.018437,-0.034316,0.39283,0.12525,-0.16956,0.45868,0.99802,0.019188,-0.059872,0.0011492,-0.68138,-0.15502,-0.082069
0.82,-0.017126,-0.035992,0.39741,0.13675,-0.16552,0.45696,0.99802,0.022603,-0.058608,0.0013257,-0.67747,-0.32877,-0.079869
0.83,-0.015703,-0.037624,0.40197,0.14795,-0.16083,0.45523,0.99805,0.026003,-0.056781,0.001478,-0.67596,-0.38516,-0.077174
0.84,-0.014169,-0.039206,0.40651,0.15878,-0.15547,0.45348,0.99806,0.029401,-0.054872,0.0016152,-0.67638,-0.37092,-0.074591
0.85,-0.012528,-0.040731,0.41104,0.16925,-0.14946,0.4517,0.99805,0.032801,-0.0531,0.001744,-0.67756,-0.33707,-0.072296
0.86,-0.010785,-0.042193,0.41555,0.17939,-0.1428,0.44989,0.99802,0.036206,-0.05148,0.0018666,-0.67844,-0.31204,-0.070229
0.87,-0.0089416,-0.043585,0.42004,0.18922,-0.13548,0.44805,0.99796,0.039614,-0.049946,0.0019817,-0.67898,-0.30246,-0.068188
0.88,-0.0070014,-0.044901,0.42451,0.19876,-0.12749,0.44617,0.9979,0.043022,-0.04843,0.0020872,-0.67903,-0.30343,-0.066111
0.89,-0.0049673,-0.046133,0.42896,0.20801,-0.11885,0.44426,0.99782,0.046429,-0.046897,0.0021815,-0.6788,-0.30815,-0.063973
0.9,-0.0028422,-0.047275,0.43339,0.21696,-0.10956,0.44232,0.99773,0.049832,-0.045342,0.0022641,-0.67845,-0.31224,-0.061798
0.91,-0.00062909,-0.048322,0.43781,0.22561,-0.0996,0.44034,0.99762,0.053184,-0.043718,0.002331,-0.61823,-0.37793,-0.054858
0.92,0.0016687,-0.049265,0.4422,0.23388,-0.089053,0.43835,0.99758,0.055814,-0.041326,0.0023143,-0.43639,-0.57188,-0.036359
0.93,0.0040467,-0.050101,0.44657,0.24161,-0.078073,0.43636,0.9976,0.057689,-0.038131,0.0022069,-0.32453,-0.69204,-0.024699
0.94,0.0064987,-0.050826,0.45093,0.24867,-0.066768,0.43438,0.99765,0.05921,-0.034559,0.0020522,-0.29153,-0.72703,-0.020059
0.95,0.0090178,-0.051436,0.45526,0.25504,-0.055176,0.43239,0.99767,0.060694,-0.030952,0.0018834,-0.30389,-0.71346,-0.018778
0.96,0.011597,-0.051928,0.45958,0.26071,-0.043289,0.43038,0.99768,0.062278,-0.027455,0.001714,-0.32755,-0.68792,-0.018014
0.97,0.01423,-0.052301,0.46387,0.26571,-0.031084,0.42836,0.99766,0.063966,-0.02407,0.0015434,-0.34439,-0.67001,-0.016637
0.98,0.016909,-0.052549,0.46814,0.27006,-0.018547,0.42631,0.99762,0.065711,-0.020746,0.0013667,-0.35068,-0.66338,-0.014618
0.99,0.019629,-0.05267,0.4724,0.27377,-0.0056702,0.42423,0.99757,0.067466,-0.017434,0.0011794,-0.35007,-0.66433,-0.012258
1,0.022382,-0.052661,0.47663,0.27684,0.0075459,0.42214,0.9975,0.069209,-0.01411,0.0009794,-0.3471,-0.66774,-0.0098257
1.01,0.025163,-0.052518,0.48084,0.27926,0.021099,0.42002,0.99742,0.070937,-0.010772,0.0007665,-0.34445,-0.67021,-0.007444
1.02,0.027965,-0.052238,0.48503,0.28103,0.034986,0.41788,0.99733,0.072653,-0.0074251,0.00054131,-0.34316,-0.67124,-0.0051105
1.03,0.030782,-0.051818,0.4892,0.28214,0.049179,0.41573,0.99726,0.073857,-0.0040245,0.00029888,-0.10952,-0.69569,-0.00089471
1.04,0.033606,-0.051254,0.49334,0.28258,0.063486,0.41359,0.99727,0.073832,-0.00049788,3.7419e-05,0.10148,-0.71733,0.00019456
1.05,0.036431,-0.050548,0.49747,0.28233,0.077706,0.41147,0.99732,0.073048,0.003106,-0.00022739,0.1937,-0.7264,-0.0011333
1.06,0.03925,-0.049701,0.50157,0.28137,0.091745,0.40936,0.99738,0.072047,0.006731,-0.00048635,0.1971,-0.72633,-0.0026386
1.07,0.042056,-0.048714,0.50565,0.27971,0.10559,0.40725,0.99741,0.071136,0.010346,-0.00073804,0.1651,-0.72283,-0.0034309
1.08,0.044842,-0.047589,0.50972,0.27735,0.11928,0.40513,0.99742,0.07039,0.013945,-0.00098423,0.13473,-0.72007,-0.003774
1.09,0.047601,-0.046329,0.51376,0.27429,0.13283,0.403,0.99741,0.069759,0.017534,-0.0012264,0.11928,-0.71906,-0.0041926
1.1,0.050326,-0.044933,0.51778,0.27054,0.14626,0.40086,0.99738,0.069169,0.021119,-0.0014648,0.11677,-0.71918,-0.0049399
1.11,0.053009,-0.043404,0.52177,0.26608,0.15958,0.3987,0.99734,0.068573,0.024707,-0.0016989,0.12034,-0.71927,-0.0059579
1.12,0.055645,-0.041742,0.52575,0.26093,0.17277,0.39654,0.99729,0.067955,0.028295,-0.0019282,0.12451,-0.71965,-0.0070667
1.13,0.058226,-0.039949,0.52971,0.25508,0.18584,0.39437,0.99722,0.067318,0.031884,-0.0021526,0.12693,-0.71969,-0.0081241
1.14,0.060744,-0.038026,0.53364,0.24854,0.19879,0.39219,0.99714,0.066674,0.035472,-0.0023721,0.12755,-0.71942,-0.0090858
1.15,0.063194,-0.035974,0.53755,0.2413,0.2116,0.39,0.99708,0.065746,0.03887,-0.0025648,0.2813,-0.61604,-0.021632
1.16,0.065568,-0.033795,0.54144,0.23347,0.22414,0.38784,0.99709,0.063861,0.041629,-0.0026688,0.45637,-0.49758,-0.038129
1.17,0.067862,-0.031492,0.54531,0.22515,0.23624,0.3857,0.99715,0.061324,0.043946,-0.0027049,0.53991,-0.43971,-0.047807
1.18,0.07007,-0.029071,0.54915,0.2164,0.24782,0.38358,0.99721,0.058569,0.046113,-0.0027099,0.54939,-0.43246,-0.051062
1.19,0.072189,-0.026538,0.55298,0.20723,0.25887,0.38147,0.99727,0.055862,0.048313,-0.0027073,0.52667,-0.44839,-0.051217
1.2,0.074213,-0.023896,0.55678,0.19763,0.26941,0.37937,0.99729,0.053281,0.050601,-0.0027043,0.50269,-0.46572,-0.051133
1.21,0.07614,-0.021151,0.56056,0.18758,0.27945,0.37727,0.9973,0.050792,0.052957,-0.0026981,0.48955,-0.47508,-0.05211
1.22,0.077963,-0.018308,0.56433,0.17708,0.28902,0.37516,0.99729,0.04834,0.055341,-0.0026837,0.48688,-0.47717,-0.054157
1.23,0.07968,-0.015372,0.56807,0.16611,0.29811,0.37306,0.99727,0.045885,0.057723,-0.0026574,0.48944,-0.47532,-0.056792
1.24,0.081284,-0.012348,0.57179,0.15468,0.30672,0.37095,0.99724,0.043413,0.060092,-0.0026177,0.49275,-0.47252,-0.05955
1.25,0.082772,-0.0092396,0.57549,0.1428,0.31485,0.36885,0.99721,0.040925,0.062448,-0.0025648,0.49482,-0.47045,-0.062177
1.26,0.084139,-0.0060524,0.57917,0.13046,0.3225,0.36674,0.99716,0.03843,0.064797,-0.0024993,0.49541,-0.46927,-0.06464
1.27,0.08538,-0.0027911,0.58282,0.11767,0.32967,0.36464,0.99709,0.035933,0.067142,-0.0024219,0.49535,-0.46909,-0.066964
1.28,0.08649,0.00053941,0.58646,0.10443,0.33636,0.36254,0.99704,0.033342,0.069184,-0.0023169,0.54538,-0.30644,-0.075866
1.29,0.087467,0.0039342,0.59007,0.090897,0.34251,0.36047,0.99706,0.030442,0.07023,-0.0021481,0.60135,-0.12404,-0.085125
1.3,0.088308,0.0073876,0.59367,0.077232,0.34808,0.35842,0.99713,0.027333,0.070597,-0.001939,0.62793,-0.03663,-0.089432
1.31,0.089012,0.010894,0.59724,0.063525,0.35305,0.35641,0.9972,0.024156,0.070737,-0.0017169,0.63109,-0.026622,-0.090066
1.32,0.089578,0.014447,0.6008,0.049792,0.3574,0.35441,0.99726,0.020993,0.070929,-0.0014961,0.62418,-0.050718,-0.089283
1.33,0.090007,0.01804,0.60433,0.036011,0.36114,0.35242,0.9973,0.017867,0.071254,-0.0012795,0.61684,-0.076241,-0.088601
1.34,0.090298,0.021667,0.60784,0.022158,0.36429,0.35044,0.99732,0.014771,0.071678,-0.0010646,0.6128,-0.090045,-0.08853
1.35,0.09045,0.025324,0.61134,0.0082196,0.36684,0.34846,0.99733,0.011686,0.07214,-0.00084838,0.61196,-0.092697,-0.088951
1.36,0.090462,0.029002,0.61481,-0.0058081,0.3688,0.34649,0.99732,0.0086008,0.072597,-0.00062927,0.61256,-0.08953,-0.089624
1.37,0.090334,0.032698,0.61827,-0.019923,0.37016,0.34453,0.99731,0.0055111,0.073035,-0.00040687,0.61343,-0.08542,-0.0903
1.38,0.090064,0.036403,0.6217,-0.034122,0.37092,0.34257,0.9973,0.0024178,0.073454,-0.00018141,0.6139,-0.082604,-0.090899
1.39,0.089651,0.040114,0.62512,-0.048404,0.37109,0.34062,0.99727,-0.000677,0.073862,4.6758e-05,0.61393,-0.081329,-0.091418
1.4,0.089095,0.043823,0.62852,-0.062766,0.37066,0.33868,0.99723,-0.0037713,0.074266,0.00027743,0.6137,-0.080972,-0.091884
1.41,0.088395,0.047525,0.63189,-0.07721,0.36963,0.33674,0.99718,-0.0068642,0.074668,0.0005105,0.61332,-0.080815,-0.092343
1.42,0.087551,0.051214,0.63525,-0.091724,0.36802,0.33482,0.99715,-0.0098599,0.074816,0.00073736,0.56116,0.057691,-0.0849
1.43,0.086561,0.054884,0.63859,-0.10619,0.36585,0.33292,0.99717,-0.01253,0.074101,0.00092944,0.50232,0.21613,-0.075165
1.44,0.085428,0.058529,0.64191,-0.12045,0.36319,0.33105,0.99723,-0.014981,0.072796,0.0010919,0.47478,0.29236,-0.069664
1.45,0.084153,0.062146,0.64521,-0.13444,0.36007,0.32921,0.9973,-0.01736,0.071293,0.0012391,0.47172,0.30131,-0.06769
1.46,0.08274,0.065729,0.64849,-0.14814,0.35649,0.32739,0.99736,-0.019753,0.069835,0.001381,0.47871,0.28044,-0.067332
1.47,0.081191,0.069274,0.65176,-0.16157,0.35244,0.32559,0.9974,-0.022185,0.068491,0.0015213,0.48619,0.25824,-0.067068
1.48,0.079509,0.072776,0.65501,-0.17475,0.34791,0.32379,0.99743,-0.024645,0.067234,0.0016593,0.49,0.24607,-0.066408
1.49,0.077697,0.076231,0.65823,-0.18769,0.34291,0.322,0.99745,-0.027116,0.066012,0.0017927,0.49069,0.24361,-0.065296
1.5,0.075756,0.079633,0.66145,-0.2004,0.33743,0.32022,0.99746,-0.029585,0.064787,0.00192,0.48994,0.24617,-0.063917
1.51,0.07369,0.082978,0.66464,-0.21287,0.33147,0.31845,0.99746,-0.032048,0.063546,0.0020402,0.48868,0.24949,-0.062525
1.52,0.0715,0.086261,0.66781,-0.2251,0.32504,0.31669,0.99746,-0.034505,0.062291,0.0021533,0.48783,0.25168,-0.061154
1.53,0.069189,0.089477,0.67097,-0.23709,0.31813,0.31494,0.99745,-0.036957,0.061028,0.0022598,0.4872,0.25246,-0.059861
1.54,0.066759,0.092622,0.67411,-0.24883,0.31074,0.3132,0.99743,-0.039407,0.059763,0.0023599,0.48682,0.25243,-0.058593
1.55,0.064213,0.09569,0.67724,-0.26034,0.30287,0.31148,0.99741,-0.041855,0.058498,0.0024536,0.48671,0.25225,-0.057294
1.56,0.061553,0.098678,0.68034,-0.2716,0.29453,0.30976,0.99737,-0.044301,0.057235,0.0025411,0.48638,0.2521,-0.056018
1.57,0.058782,0.10158,0.68343,-0.28262,0.28572,0.30805,0.99734,-0.046642,0.055905,0.0026146,0.40891,0.30221,-0.046419
1.58,0.055901,0.10439,0.6865,-0.29335,0.2765,0.30637,0.99736,-0.048349,0.054165,0.0026271,0.27752,0.38898,-0.030282
1.59,0.052916,0.10711,0.68956,-0.30371,0.26701,0.30471,0.99741,-0.049541,0.052086,0.0025882,0.20672,0.43638,-0.02153
1.6,0.049829,0.10973,0.6926,-0.31365,0.2573,0.30309,0.99747,-0.050529,0.049871,0.0025267,0.19206,0.44613,-0.019118
1.61,0.046644,0.11225,0.69562,-0.32315,0.24741,0.30148,0.99753,-0.051524,0.047663,0.0024618,0.20512,0.43658,-0.019572
1.62,0.043367,0.11468,0.69863,-0.33223,0.23731,0.29988,0.99757,-0.052601,0.045515,0.0023997,0.22228,0.42406,-0.020311
1.63,0.040001,0.117,0.70162,-0.3409,0.22699,0.2983,0.99761,-0.053749,0.043419,0.0023391,0.23278,0.41623,-0.020329
1.64,0.03655,0.11922,0.70459,-0.34917,0.21645,0.29672,0.99763,-0.054929,0.041348,0.0022764,0.23586,0.41398,-0.019615
1.65,0.033019,0.12133,0.70755,-0.35703,0.20567,0.29516,0.99765,-0.056113,0.039278,0.0022091,0.23471,0.41498,-0.018523
1.66,0.029411,0.12333,0.7105,-0.36449,0.19466,0.2936,0.99766,-0.057286,0.037201,0.0021361,0.23234,0.41657,-0.01737
1.67,0.025731,0.12522,0.71343,-0.37155,0.18342,0.29206,0.99767,-0.058448,0.035117,0.0020574,0.2307,0.41778,-0.016269
1.68,0.021981,0.127,0.71634,-0.3782,0.17195,0.29053,0.99767,-0.059603,0.03303,0.0019733,0.23005,0.41824,-0.015246
1.69,0.018168,0.12866,0.71924,-0.38444,0.16026,0.28901,0.99767,-0.060757,0.030942,0.0018844,0.22998,0.4181,-0.014274
1.7,0.014294,0.1302,0.72212,-0.39028,0.14834,0.2875,0.99766,-0.06191,0.028855,0.0017907,0.2301,0.41775,-0.01332
1.71,0.010364,0.13162,0.72499,-0.39571,0.13619,0.286,0.99765,-0.063063,0.02677,0.0016923,0.23008,0.4173,-0.012367
1.72,0.006381,0.13292,0.72784,-0.40074,0.12381,0.28452,0.99763,-0.064216,0.024687,0.0015892,0.23004,0.41708,-0.0114
1.73,0.0023502,0.1341,0.73068,-0.40536,0.11121,0.28304,0.9976,-0.065368,0.022605,0.0014813,0.22978,0.41693,-0.010426
1.74,-0.0017249,0.13515,0.7335,-0.40958,0.098397,0.28158,0.9976,-0.066174,0.020533,0.0013628,0.087572,0.41308,-0.0036595
1.75,-0.0058401,0.13607,0.73631,-0.41339,0.085494,0.28014,0.99763,-0.066312,0.01848,0.001229,-0.022707,0.41061,0.00089267
1.76,-0.0099914,0.13686,0.7391,-0.41681,0.072605,0.27872,0.99768,-0.066065,0.016435,0.0010886,-0.067111,0.40959,0.0022784
1.77,-0.014175,0.13752,0.74188,-0.41982,0.059775,0.27733,0.99773,-0.065723,0.014393,0.00094821,-0.065495,0.40928,0.0019309
1.78,-0.018387,0.13805,0.74465,-0.42244,0.047007,0.27595,0.99778,-0.065442,0.012353,0.00081013,-0.04727,0.40903,0.0011825
1.79,-0.022622,0.13846,0.7474,-0.42466,0.034283,0.27458,0.99782,-0.06525,0.010312,0.00067427,-0.031351,0.40904,0.00064669
1.8,-0.026878,0.13874,0.75014,-0.42647,0.021591,0.27322,0.99784,-0.065117,0.0082712,0.00053972,-0.023845,0.40907,0.00039132
1.81,-0.031151,0.13889,0.75287,-0.42789,0.0089207,0.27187,0.99787,-0.065003,0.0062303,0.00040583,-0.023068,0.40906,0.00028558
